original_path,degraded_path,degradation,restored_path,corrected_path,psnr,ssim,niqe
originals/1 (869).jpg,degraded/1 (869)_gauss10.png,gauss_10,results/restored_paired/restored_1 (869)_gauss10_20251124_190913.png,results/restored_paired/corrected_1 (869)_gauss10_20251124_190913.png,30.11447734,0.823958652,4.395022495
originals/1 (869).jpg,degraded/1 (869)_gauss25.png,gauss_25,results/restored_paired/restored_1 (869)_gauss25_20251124_190914.png,results/restored_paired/corrected_1 (869)_gauss25_20251124_190914.png,25.13163848,0.654451193,4.459112178
originals/1 (869).jpg,degraded/1 (869)_blur3.png,blur_3,results/restored_paired/restored_1 (869)_blur3_20251124_190914.png,results/restored_paired/corrected_1 (869)_blur3_20251124_190914.png,32.09201796,0.924349391,3.975007257
originals/1 (869).jpg,degraded/1 (869)_blur7.png,blur_7,results/restored_paired/restored_1 (869)_blur7_20251124_190915.png,results/restored_paired/corrected_1 (869)_blur7_20251124_190915.png,32.17651828,0.91980184,4.02784301
originals/1 (869).jpg,degraded/1 (869)_x2.png,downs_up_x2,results/restored_paired/restored_1 (869)_x2_20251124_190915.png,results/restored_paired/corrected_1 (869)_x2_20251124_190915.png,32.04918926,0.921748845,4.259464376
originals/1 (869).jpg,degraded/1 (869)_x4.png,downs_up_x4,results/restored_paired/restored_1 (869)_x4_20251124_190916.png,results/restored_paired/corrected_1 (869)_x4_20251124_190916.png,31.58628159,0.903244792,4.238348186
originals/1 (869).jpg,degraded/1 (869)_jpg30.png,jpeg_30,results/restored_paired/restored_1 (869)_jpg30_20251124_190916.png,results/restored_paired/corrected_1 (869)_jpg30_20251124_190916.png,31.63149188,0.909424495,3.814615289
originals/1 (869).jpg,degraded/1 (869)_jpg10.png,jpeg_10,results/restored_paired/restored_1 (869)_jpg10_20251124_190917.png,results/restored_paired/corrected_1 (869)_jpg10_20251124_190917.png,30.95038576,0.871201188,3.825063614
originals/1 (870).jpg,degraded/1 (870)_gauss10.png,gauss_10,results/restored_paired/restored_1 (870)_gauss10_20251124_190918.png,results/restored_paired/corrected_1 (870)_gauss10_20251124_190918.png,25.82317284,0.70155966,3.064188642
originals/1 (870).jpg,degraded/1 (870)_gauss25.png,gauss_25,results/restored_paired/restored_1 (870)_gauss25_20251124_190919.png,results/restored_paired/corrected_1 (870)_gauss25_20251124_190919.png,22.48625024,0.538203749,3.512071932
originals/1 (870).jpg,degraded/1 (870)_blur3.png,blur_3,results/restored_paired/restored_1 (870)_blur3_20251124_190919.png,results/restored_paired/corrected_1 (870)_blur3_20251124_190919.png,26.71668021,0.763388153,3.632117029
originals/1 (870).jpg,degraded/1 (870)_blur7.png,blur_7,results/restored_paired/restored_1 (870)_blur7_20251124_190920.png,results/restored_paired/corrected_1 (870)_blur7_20251124_190920.png,25.78281109,0.685059096,3.985944489
originals/1 (870).jpg,degraded/1 (870)_x2.png,downs_up_x2,results/restored_paired/restored_1 (870)_x2_20251124_190922.png,results/restored_paired/corrected_1 (870)_x2_20251124_190922.png,26.57830469,0.740638749,3.635586752
originals/1 (870).jpg,degraded/1 (870)_x4.png,downs_up_x4,results/restored_paired/restored_1 (870)_x4_20251124_190922.png,results/restored_paired/corrected_1 (870)_x4_20251124_190922.png,26.10762468,0.645653771,4.106135477
originals/1 (870).jpg,degraded/1 (870)_jpg30.png,jpeg_30,results/restored_paired/restored_1 (870)_jpg30_20251124_190923.png,results/restored_paired/corrected_1 (870)_jpg30_20251124_190923.png,26.7695597,0.754042443,3.766415656
originals/1 (870).jpg,degraded/1 (870)_jpg10.png,jpeg_10,results/restored_paired/restored_1 (870)_jpg10_20251124_190924.png,results/restored_paired/corrected_1 (870)_jpg10_20251124_190924.png,25.12304496,0.654645072,3.659092517
originals/1 (980).jpg,degraded/1 (980)_gauss10.png,gauss_10,results/restored_paired/restored_1 (980)_gauss10_20251124_190926.png,results/restored_paired/corrected_1 (980)_gauss10_20251124_190926.png,28.00639896,0.694423675,4.036249683
originals/1 (980).jpg,degraded/1 (980)_gauss25.png,gauss_25,results/restored_paired/restored_1 (980)_gauss25_20251124_190927.png,results/restored_paired/corrected_1 (980)_gauss25_20251124_190927.png,22.75614171,0.471835884,4.395032444
